"ARTIST_ID","FECHA","POPULARITY","NUM_FOLLOWERS"
"6AyATGg7mDgBlZ4N5uNog0",24/04/20,71,239080
"3DIk8KcmVKTr4uGw3AuCtJ",24/04/20,49,11576
"78CiW0UJbHspFaVuVexOK6",24/04/20,64,111590
"3QOwPxkPpGvhbiPaEs7Pnl",24/04/20,42,9208
"3oXddLOOjkoUuC2sX1RMdr",24/04/20,55,51487
"5dUUxJQg27XaHdKyLYwNg5",24/04/20,52,6340
"3vsVCHUe68gqUMIZwaVUIK",24/04/20,54,21233
"7zOuMHqRJ6YOMnCGpLfuTU",24/04/20,50,28815
"2AfmfGFbe0A0WsTYm0SDTx",24/04/20,74,1392589
"52zMTJCKluDlFwMQWmccY7",24/04/20,68,652276
"3HqSLMAZ3g3d5poNaI7GOU",24/04/20,73,1375769
"2uWcrwgWmZcQc3IPBs3tfU",24/04/20,65,668826
"2KC9Qb60EaY0kW4eH68vr3",24/04/20,76,616501
"7bmYpVgQub656uNTu6qGNQ",24/04/20,63,253146
"0qlWcS66ohOIi0M8JZwPft",24/04/20,66,787784
"5r1tUTxVSgvBHnoDuDODPH",24/04/20,70,457763
"2PSJ6YriU7JsFucxACpU7Y",24/04/20,68,822364
"2HPaUgqeutzr3jx5a9WyDV",24/04/20,85,2313123
"6hfwwpXqZPRC9CsKI7qtv1",24/04/20,73,650549
"1A9o3Ljt67pFZ89YtPPL5X",24/04/20,71,334265
"0cGUm45nv7Z6M6qdXYQGTX",24/04/20,83,3401551
"3tlXnStJ1fFhdScmQeLpuG",24/04/20,78,601319
"7e1ICztHM2Sc4JNLxeMXYl",24/04/20,74,738022
"5Vuvs6Py2JRU7WiFDVsI7J",24/04/20,66,106039
"5pKCCKE2ajJHZ9KAiaK11H",24/04/20,91,37217574
"7r2oyrNc0YjSC7hZL87V0Y",24/04/20,58,178320
"2ekjTXgjxbWwBX5lTAj4DU",24/04/20,65,154200
"7ohlPA8dRBtCf92zaZCaaB",24/04/20,68,479330
"1A92IAcd7A6npCA33oGM5i",24/04/20,66,189244
"5lpH0xAS4fVfLkACg9DAuM",24/04/20,70,1173523
"7A9yZMTrFZcgEWAX2kBfK6",24/04/20,66,788985
"2hO4YtXUFJiUYS2uYFvHNK",24/04/20,60,540153
"5dbuFbrHa1SJlQhQX9OUJ2",24/04/20,68,762702
"34jw2BbxjoYalTp8cJFCPv",24/04/20,70,1264792
"4QTVePrFu1xuGM9K0kNXkk",24/04/20,66,130035
"6DCIj8jNaNpBz8e5oKFPtp",24/04/20,69,867806
"1G1mX30GpUJqOr1QU2eBSs",24/04/20,59,282855
"1fa0cOhromAZdq2xRA4vv8",24/04/20,71,1207606
"19ra5tSw0tWufvUp8GotLo",24/04/20,75,2364696
"7FIoB5PHdrMZVC3q2HE5MS",24/04/20,71,1474168
"0PFtn5NtBbbUNbU9EAmIWF",24/04/20,76,1433625
"7nwUJBm0HE4ZxD3f5cy5ok",24/04/20,75,2214633
"6IYnSXO40Bh7Zdqhf6rQoj",24/04/20,59,56199
"5IDs1CK15HegSAhGEbSYXo",24/04/20,66,491104
"3lPQ2Fk5JOwGWAF3ORFCqH",24/04/20,69,796616
"2TzHIUhVpeeDxyJPpQfnV3",24/04/20,65,41673
"0z5DFXmhT4ZNzWElsM7V89",24/04/20,65,582495
"6hN9F0iuULZYWXppob22Aj",24/04/20,71,1017326
"0rvjqX7ttXeg3mTy8Xscbt",24/04/20,76,2863536
"3UbyYnvNIT5DFXU4WgiGpP",24/04/20,69,1555813
"0LcJLqbBmaGUft1e9Mm8HV",24/04/20,80,4013942
"0SD4eZCN4Kr0wQk56hCdh2",24/04/20,70,852522
"3bmFPbLMiLxtR9tFrTcKcP",24/04/20,69,18500
"3Z1tibPKhUYWCno0IYicCN",24/04/20,57,41984
"5PN2aHIvLEM98XIorsPMhE",24/04/20,61,141639
"3pFCERyEiP5xeN2EsPXhjI",24/04/20,69,1112092
"1aX2dmV8XoHYCOQRxjPESG",24/04/20,64,598200
"20p5D2KrE8CGuOjHtxsyTp",24/04/20,61,438877
"7oPgCQqMMXEXrNau5vxYZP",24/04/20,72,967118
"32vWCbZh0xZ4o9gkz4PsEU",24/04/20,77,1057304
"5a2EaR3hamoenG9rDuVn8j",24/04/20,75,4365681
"0kObWap02DEg9EAJ3PBxzf",24/04/20,68,494621
"0WwSkZ7LtFUFjGjMZBMt6T",24/04/20,78,3432192
"2kreKea2n96dXjcyAU9j5N",24/04/20,67,441801
"3cniTumSiUysiPWXapGx1i",24/04/20,63,188763
"0JDkhL4rjiPNEp92jAgJnS",24/04/20,70,946472
"22bE4uQ6baNwSHPVcDxLCe",24/04/20,83,8505591
"3CkvROUTQ6nRi9yQOcsB50",24/04/20,71,1844766
"6dn6x1XOng3LOAnfTjUn77",24/04/20,75,371372
"3w6zswp5THsSKYLICUbDTZ",24/04/20,69,541959
"04gDigrS5kc9YWfZHwBETP",24/04/20,89,23907207
"5RJFJWYgtgWktosLrUDzff",24/04/20,63,12512
"66W9LaWS0DPdL7Sz8iYGYe",24/04/20,79,83226
"6B72wjgAkhvxTVCL6xS6mC",24/04/20,59,112743
"5lXfVoQxVgC5fpjkVqvNYn",24/04/20,59,44870
"6RHKEd9dpzQ4c09x8Zdaxu",24/04/20,66,90974
"4EzkuveR9pLvDVFNx6foYD",24/04/20,78,2829541
"2jnIB6XdLvnJUeNTy5A0J2",24/04/20,80,2047141
"7wLyGTO9vUS7ndlq4BvBGe",24/04/20,61,13269
"3v9wPA58IVrX2dg6AjSPgi",24/04/20,61,25452
"0ZED1XzwlLHW4ZaG4lOT6m",24/04/20,85,2765405
"2wUjUUtkb5lvLKcGKsKqsR",24/04/20,83,7052211
"0B3N0ZINFWvizfa8bKiz4v",24/04/20,75,543873
"45dkTj5sMRSjrmBSBeiHym",24/04/20,76,472207
"5ZsFI1h6hIdQRw2ti0hz81",24/04/20,83,11343135
"4T2k9bgIoC8bbqjqiEl9vZ",24/04/20,68,146476
"2Q9c6ETFOkDDTy53U7DIgr",24/04/20,62,14153
"1rSGNXhhYuWoq9BEz5DZGO",24/04/20,65,141682
"3PlRvQnVE3XAbtHUNc4nic",24/04/20,72,36921
"4Q6nIcaBED8qUel8bBx6Cr",24/04/20,79,728999
"7okSU80WTrn4LXlyXYbX3P",24/04/20,70,35708
